content,svm_sentiment,bayes_sentiment,df_scores,df_score_senti
运行 速度 运行 稳定 速度 快 屏幕 效果 效果 好 散热 性能 散热 效果 良好 外形 外观 大气 美观 高贵 稳重 轻薄 程度 机体 超薄 手感 好 特色 预装 了 正版 系统 正版 杀毒 操作 方便 稳定 安全 赠送 皮制 电脑包 联想 鼠标 物超所值 值得 购买 ,消极,积极,56.036,积极
太菜 了 买完 降价 电脑 卡 买错 了 买 着 电脑 了 ,消极,积极,-0.182,消极
运行 速度 快 棒 屏幕 效果 看着 舒服 设置 护眼 模式 散热 性能 季节 发现 不了 散热 问题 超负荷 运行 没 问题 外形 外观 风格 中庸 轻薄 程度 不算 薄款 接受 特色 ,积极,积极,12.574,积极
运行 速度 开机 速度 运行 流畅 屏幕 效果 很 不错 散热 性能 散热 好 发烫 外形 外观 一般 吧 硬朗 适合 商务 办公 轻薄 程度 不算 轻 特色 键盘 手感 不错 打字 很 舒服 ,消极,积极,26.838,积极
运行 速度 轻薄 程度 轻薄 屏幕 效果 清晰 散热 性能 散热 快 卡机 外形 外观 外观 太漂亮 了 ,积极,积极,16.118,积极
外观 大气 是 喜欢 款式 装 了 qq 开机 不错 了 没 毛病 挂 了 qq 开 着 云 视频 网页 是 秒 开 音质 是 不错 价格 质量 对得起 值得 入手 ,积极,积极,17.759,积极
运行 速度 快 同事 说好 屏幕 效果 清晰 外形 外观 漂亮 有点 重 轻薄 程度 有点 厚 特色 值得 拥有 散热 性能 知道 散热 专门 买 个 架子 ,积极,积极,20.439,积极
运行 速度 屏幕 效果 散热 一般 厚重 达 不到 想要 轻薄 笔记本 效果 ,积极,积极,10.618,积极
外形 外观 一般 轻薄 程度 还行 ,积极,积极,5.97,积极
是 thinkpad fans 有点 重 机 开机 装 系统 时间 超过 半小时 ,消极,积极,-1.599,消极
很 不错 商务 质感 好 轻薄 配置 不错 物流 下单 到 了 ,积极,积极,14.295,积极
物流 质感 不错 买 了 送 人 很 轻薄 整体 配置 ,积极,积极,12.016,积极
屏幕 效果 好 散热 性能 良好 外形 外观 漂亮 轻薄 程度 很薄 ,积极,积极,14.643,积极
运行 速度 应 超进 快 特色 活动 力度 大 感谢 官方 ,积极,积极,9.666,积极
外观 质感 不错 没 发现 好 ,积极,积极,9.023,积极
散热 声音 大 了 开始 听到 电脑 出 问题 了 呢 轻薄 还行 吧 ,积极,积极,3.895,积极
买 侄女 没收 到 反馈 ,消极,积极,-0.376,消极
送货 ,消极,积极,0.087,积极
送货 快 外观 不错 花 了 有点 郁闷 ,积极,积极,3.441,积极
运行 速度 运行 速度 快 搞 活动 买 划算 喜欢 ,积极,积极,6.393,积极
很好 很好 ,消极,积极,0.0,积极
单位 反馈 好 办公 没 毛病 ,消极,积极,0.335,积极
运行 速度 速度 挺快 感觉 不错 屏幕 效果 分辨率 一般 吧 散热 性能 散热 有点 烫烫 外形 外观 外观 大气 喜欢 轻薄 程度 厚 些 特色 有点 重 接受 ,消极,积极,23.335,积极
i7 G 机器 使用 了 感觉 不错 吧 性能 妥妥 散热 吧 是 不热 桌面 有点 热 吧 应该 是 散热 吧 ,积极,积极,6.76,积极
使用 效果 好 一如既往 地 支持 会 光顾 购买 ,积极,积极,12.02,积极
使用 感 不错 办公室 买 了 台 了 希望 做 活动 继续 买买 买 ,积极,积极,5.455,积极
运行 速度 外形 外观 有 质感 ,积极,积极,8.103,积极
运行 速度 速度 开机 了 外形 外观 超薄 高大 轻薄 程度 超薄 机身 喜欢 银色 低调 奢华 特色 没有 让 失望 ,积极,积极,23.752,积极
运行 速度 睿 i7 核 CPU 加 g 运行 内存 固态 硬盘 GB 独立 显卡 账面 数据 看着 不错 没有 玩 大型 游戏 电脑 主要 是 CAD 平面设计 不卡 没有 想象 快 打开 大 CAD 文件 要 屏幕 效果 屏幕 效果 一般 拿 电影 无所谓 啦 散热 性能 风扇 高速运转 时候 会 有 刺耳 声音 夜静 时刻 会 明显 外形 外观 外观 简洁 耐看 偏 商务 风格 A 面 是 金属 面板 轻薄 程度 商务 是 轻薄 了 中规中矩 特色 买 变成 到 降价 成 等于 买 贵 伍佰 大洋 可恨 是 不能 保价 ,消极,积极,20.206,积极
外观 轻巧 漂亮 低调 奢华 物流 京东 平台 服务 没的说 唯一 起来 有点 顺畅 没有 装太 东西 用用 看吧 觉得 价钱 买 性能 电脑 有点 性价比 高 可能 联想 品牌 贵 吧 希望 有 多用户 体验 发表 感受 显卡 有点 次 ,积极,积极,26.897,积极
外形 外观 好 屏幕 效果 清晰 ,积极,积极,7.213,积极
降价 了 太坑 了 ,消极,积极,0.747,积极
电脑 不错 有点 重 可能 好 电脑 吧 ,积极,积极,5.214,积极
没 发现 有 问题 ,消极,积极,-1.556,消极
价格 实惠 使用 起来 流畅 大 品牌 值得 信赖 ,积极,积极,15.807,积极
下单 到货 笔记本电脑 外观 完美 轻薄 反应 快 散热 好 价 价比 不要 高 ,积极,积极,14.591,积极
运行 速度 快 屏幕 效果 不错 散热 性能 不错 外形 外观 酷 轻薄 程度 正好 ,积极,积极,16.48,积极
性能 行 外观 不错 孩子 使用 足够 了 ,积极,积极,8.977,积极
运行 速度 速度 快 装 软件 开机 装 了 软件 开机 要 屏幕 效果 屏幕 尺寸 适合 需求 适合 散热 性能 散热 没有 觉察 没 玩游戏 普通 编辑文档 够用 外形 外观 好看 大方 轻薄 程度 好 不会 厚重 不会 单薄 缺点 没 usb3 口 奇 了 怪 了 老机 有 到 呀 ,消极,积极,21.525,积极
运行 速度 外形 外观 银色 好看 ,积极,积极,8.041,积极
开始 着 不错 买 了 不到 系统 崩 了 差 评差 评 ,消极,积极,-1.26,消极
性价比 高 机子 后用 了 来 评价 总体 感觉 不错 比例 协调 有 质感 散热 良好 新 机子 运行 速度 快 加载 运行 时 有 杂音 无 赠品 ,积极,积极,15.397,积极
运行 速度 开机 外形 外观 感觉 适合 男孩子 女 轻薄 程度 感觉 不薄 ,积极,积极,6.384,积极
运行 速度 不错 屏幕 效果 不错 散热 性能 不错 外形 外观 喜欢 轻薄 程度 正好 ,积极,积极,21.488,积极
运行 速度 快 开机 不到 外形 外观 薄 图片 好看 屏幕 效果 清晰 轻薄 程度 薄 散热 性能 好 特色 ,积极,积极,16.262,积极
轻薄 程度 很 轻 很 薄 便于 外出 携带 咖啡厅 做事 按键 手感 好 装 了 正版 win10 office 还有 双硬盘 性价比 不错 拿到 手 时候 弄 了 激活 office 总 说 登录 重置 密码 激活 网站 难 登录 了 没想到 微软 大 公司 激活 系统 差 收到 系统 驱动 软件 大 升级 遇到 问题 名称 忘 了 知道 联想 装 是 ,消极,消极,15.481,积极
外形 外观 很漂亮 开始 屏幕 有 坏点 换货 速度 一流 京东 赞 ,积极,积极,14.379,积极
thinkpad 笔记本电脑 办公 了 时间 了 好 买 品牌 外观 漂亮 轻巧 很 不错 希望 能 陪伴 ,积极,积极,16.447,积极
关机 电池 是 充满 可 开机 电池 会 有 损耗 是 要 做 设置 吗 ,消极,消极,-6.597,消极
运行 速度 OK 屏幕 效果 OK 外形 外观 OKnan ,积极,积极,7.816,积极
运行 速度 ,积极,积极,1.301,积极
运行 速度 快 屏幕 效果 细腻 散热 性能 中等 外形 外观 不错 轻薄 程度 中等 ,积极,积极,15.931,积极
质量 好 价格 合适 服务 不错 展平 度 价格 很 厉害 了 ,积极,积极,11.133,积极
不错 开机 运行 ,积极,积极,2.231,积极
不错 经典 款式 价格 合适 送货 ,积极,积极,11.408,积极
很 不错 买 送货 ,积极,积极,3.159,积极
没 预期 好 开机 较 快 使用 慢 得 不行 ,消极,积极,2.436,积极
运行 速度 好 ,积极,积极,3.374,积极
散热 风扇 声音 大 打开 浏览器 能 声音 变得 大 ,积极,积极,3.165,积极
好 满意 ,积极,积极,4.913,积极
好 ,积极,积极,2.073,积极
产品 好 很 不错 喜欢 ,积极,积极,9.474,积极
大小 好 ,积极,积极,3.041,积极
笔记本 散热 好 功能 很 强大 打游戏 看 电影 办公 卡 喜欢 笔记本 ,积极,积极,13.385,积极
电脑 开机 速度 s 散热 效果 好 ,积极,积极,6.071,积极
电脑 不错 想象 重 了 物流 买 送到 ,积极,积极,5.293,积极
thinkpad 系列 性价比 高 ,积极,积极,2.836,积极
了 忍不住 买 了 性价比 确实 高 去 联想 商城 看 了 京东 贵 些 唯一 遗憾 没有 赠送 鼠标 电脑包 完美 收到 货 迫不及待 打开 试 了 全程 是 语音 教程 人性化 联想 电脑 品质 是 没话说 京东 自营 是 放心 说 说 电脑 运行 速度 是 外观 很漂亮 机身 轻薄 关键 是 散热 效果 好 哦 了 温度 控制 很好 屏幕 色彩鲜艳 推荐 大家 做 个 参考 ,消极,积极,41.636,积极
特色 不想 说 了 开始 镜头 有 东西 给换 了 ,消极,消极,6.137,积极
运行 速度 快 屏幕 效果 美 散热 性能 好 外形 外观 优 轻薄 程度 特色 ,积极,积极,18.349,积极
办公 行 打游戏 没戏 ,积极,积极,-2.211,消极
运行 速度 很 流畅 ,积极,积极,3.53,积极
喜欢 人 人 认识 时候 虚伪 热情 新鲜 浪漫 ,消极,积极,7.238,积极
双 活动 下单 价格 实惠 ,积极,积极,5.673,积极
好 是 办公 需要 了 想卖 了 买 有 ,消极,积极,3.38,积极
运行 速度 不错 屏幕 效果 清楚 散热 性能 不错 外形 外观 时尚 轻薄 程度 ,积极,积极,19.236,积极
有 赠品 拿 出来 要 送 送 逗我 玩 呢 购物 体验 差 了 ,消极,消极,1.814,积极
运行 速度 玩游戏 办公 超快 开机 秒 屏幕 效果 一般 K 屏 散热 性能 冷 较热 外形 外观 很漂亮 很 喜欢 轻薄 程度 厚 了 特色 电池 续航 有点 短 不到 K 知足 啦 ,积极,积极,15.936,积极
好 不错 推荐 购买 ,积极,积极,8.13,积极
不错 屏幕 细腻 送货 ,积极,积极,4.147,积极
挺不错 经典 款式 送货 ,积极,积极,5.888,积极
配送 速度 快 配送 员 态度 好 说话 客气 完美 运行 速度 好 屏幕 效果 散热 性能 好 特色 好 轻薄 程度 好 外形 外观 好 ,消极,积极,31.821,积极
好 速度 ,积极,积极,2.591,积极
起来 感觉 吧 轻便 ,积极,积极,1.712,积极
京东 物流 快 下单 到 了 妹妹 买 说 收到 感觉 轻 薄 外观 看着 很大 气 买 时候 对比 了 品牌 性价比 高 很 喜欢 键盘 红点 键 操作 起来 很 方便 了 一段时间 说 大学 室友 电脑 贵 电脑 好 ,积极,积极,14.771,积极
老 品牌 质量 过硬 购买 了 ,消极,积极,6.207,积极
买完 降价 裸机 没有 ,消极,积极,0.598,积极
没用到 电脑 网页 进去 弹出 我用 冒火 是 醉 了 想到 是 联想 牌子 应该 好 结果 大失所望 差评 不想 了 ,消极,消极,-5.975,消极
公司 同事 办公 配置 反应 不错 速度 快 办 公司 性价比 高 ,积极,积极,1.387,积极
运行 速度 屏幕 效果 散热 性能 散热 风扇 声 大 特色 电脑 卡 没送 包和 鼠标 电脑 ,积极,积极,5.441,积极
不错 哦 很 精致 经典 送货 ,积极,积极,11.231,积极
运行 速度 行 外形 外观 不错 轻薄 程度 轻薄 屏幕 效果 很 一般 总体 玩游戏 应该 够 需 使用 体验 算 不错 ,积极,积极,20.013,积极
东西 不错 还好 物流 ,积极,积极,3.952,积极
好用 不贵 办公 家用 划算 ,积极,积极,3.905,积极
技术 质感 好 速度 高端 大气 上档次 值得 购买 ,积极,积极,16.632,积极
买不到 降 了 是 醉 了 ,消极,积极,1.165,积极
运行 速度 性价比 超高 电脑 很 满意 ,积极,积极,7.33,积极
开机 使用 了 挺快 后续 看看 使用 情况 吧 ,积极,积极,1.494,积极
屏幕 效果 哈哈哈哈 哈哈哈哈 哈哈哈 ,消极,积极,4.285,积极
公司 采购 产品质量 好 价格便宜 物流 速度 快 ,积极,积极,3.655,积极
屏幕 很 清晰 开机 安装 软件 收到 开机 感觉 好 颜值 不错 来 评价 看看 效果 唯一 没有 鼠标 ,积极,积极,7.713,积极
鲁 大师 测 了 电池 好像 有 损耗 增加 看 完全 放电 充电 会 不会 减少 ,消极,积极,0.149,积极
外形 外观 好看 运行 速度 挺快 屏幕 效果 散热 性能 好 轻薄 程度 轻 特色 喜欢 ,积极,积极,17.661,积极
神速 ,消极,积极,1.015,积极
此 用户 未填写 评价 内容 好 ,积极,积极,5.984,积极
品质 好 价格 实惠 超级 满意 京东 自营 物流 快 货品 齐全 赞 ,积极,积极,26.646,积极
显示 模糊 打开 基本 软件 显示 超级 模糊 裸机 赠品 没有 差 ,消极,积极,-1.118,消极
固态 硬盘 电脑 字 快 切实 提高 了 工作效率 喜欢 ThinkPADnan ,积极,积极,5.056,积极
发货 速度 快 质量 好 包装 牢固 使用 体验 好 ,积极,积极,14.077,积极
性能 好 ,积极,积极,4.056,积极
好 ,积极,积极,2.073,积极
买 办公 没 启用 看起来 高大 有 送 皮包 看起来 很好 产品 快递 小哥 辛苦 咯 ,消极,积极,8.03,积极
运行 速度 固态 硬盘 win10 系统 搭配 开机 需要 秒钟 喝口水 功夫 即 开始 办公 屏幕 效果 屏幕显示 效果 好 修图 看 视频 清晰 显卡 品质 一流 散热 性能 散热 效果 好 连续 开机 使用 小时 觉得 有 烫 感觉 外形 外观 外观 延续 了 thinkpad 有点 简洁 大方 不失 高雅 轻薄 程度 很 轻薄 装 书包 背着 相当于 普通 书籍 完全 觉得 累 特色 综合 性价比 高 强烈推荐 购买 ,消极,积极,46.115,积极
运行 速度 流畅 屏幕 效果 范围 大 散热 性能 良好 轻薄 程度 清薄 外形 外观 无可挑剔 ,积极,积极,13.505,积极
漂亮 大气 运行 快 选择 决定 睿 处理器 双硬盘 感觉 足够 新 系统 需要 适应 操作 太熟 运行 快 关机 几秒钟 老公 满意 性价比 高 ,积极,积极,17.187,积极
运行 速度 快 屏幕 效果 颜色 靓丽 声音 音质 好 轻薄 程度 适中 散热 性能 不错 外形 外观 大气 喜欢 ,积极,积极,25.333,积极
毛 赠品 没有 ,消极,积极,1.414,积极
好 家里 都用 牌子 很 喜欢 好 家里 都用 牌子 很 喜欢 好 家里 都用 牌子 很 喜欢 ,积极,积极,14.36,积极
买 买 了 降价 到 了 想 退货 退 不了 ,消极,消极,-5.474,消极
运行 速度 快 屏幕 效果 好 散热 性能 佳 外形 外观 完美 ,积极,积极,14.26,积极
运行 速度 速度 屏幕 清晰 散热 美观 很 适合 男孩 价格 贵 没有 鼠标 ,积极,积极,6.495,积极
运行 速度 开机 屏幕 效果 画面 清晰 散热 性能 超级 静音 外形 外观 商务 时尚 ,积极,积极,10.435,积极
此 用户 未填写 评价 内容 ,消极,积极,3.911,积极
运行 速度 屏幕 效果 散热 性能 外形 外观 轻薄 程度 特色 ,积极,积极,12.273,积极
买来 没用 开机 黑屏 了 联系 客服 联系 电话 没有 人 接 ,消极,消极,-2.753,消极
运行 速度 开机 快 蓄电 行 软件 运行 ,积极,积极,0.045,积极
物流 超级 快 电脑 不错 娃用 足够 了 ,积极,积极,5.248,积极
拿到 时 触摸板 有 问题 联系 客服 重新 换 了 简单 办公 外形 外观 很 喜欢 运行 速度 不错 ,积极,积极,13.956,积极
了 感觉 开机 速度 快 性价比 高 散热 外形 轻巧 屏幕 效果 没有 达到 预期 效果 ,积极,积极,9.348,积极
质量保证 价格 优惠 快递 迅速 ,积极,积极,5.764,积极
运行 速度 屏幕 效果 一般 散热 性能 外形 外观 一般 轻薄 程度 一般般 特色 额 跑 分 ,积极,积极,10.224,积极
美观 秀气 颜值 高 携带方便 OK ,积极,积极,6.173,积极
要 退货 买 送 没有 价格 得 垃圾 ,消极,消极,-1.645,消极
外形 外观 外观 有 瑕疵 做工 不够 精良 对不上 品牌 ,积极,积极,13.09,积极
运行 速度 速度 快 屏幕 视觉效果 好 感觉 小米 pro 看 舒服 速度 屏幕 效果 说 了 色彩 清晰度 不错 好评 散热 性能 没有 大型 游戏 玩 纯 办公 感觉 力 外形 外观 外观 屏幕 黑边 大 小 好 了 有点 厚 了 轻薄 程度 厚 作为 传统 笔记本 理解 散热 好 起来 是 舒服 大城市 键盘 特色 银色 看起来 帅 T440 说 了 没有 可比性 小米 pro 到 时 是 不错 开机 风扇 回 呼呼 叫 感觉 不爽 笔记本 选 了 小黑 小 银 希望 送 包 力 还有 京东 速度 越来越快 下单 下班 前到 力 ,消极,积极,57.313,积极
不错 挺好用 ,积极,积极,2.651,积极
使用 效果 ,积极,积极,2.963,积极
买 公司 很 不错 做 代码 机 入手 写 代码 不错 ,积极,积极,4.63,积极
没 使用 知道 常规 笔记本 用以 追评 ,积极,积极,5.902,积极
电脑 不错 习惯 好评 ,积极,积极,5.16,积极
外形 美观 运行 速度 较 快 配有 电脑包 鼠标 了 ,积极,积极,8.214,积极
买 公司 很 不错 ,积极,积极,2.711,积极
没 使用 送货 速度 好评 吧 ,积极,积极,4.798,积极
外形 外观 不错 ,积极,积极,5.997,积极
质量 不错 物流 挺快 赞 ,积极,积极,6.421,积极
质量 不错 物流 挺快 赞 ,积极,积极,6.421,积极
不错 活动 促销 价格 不错 ,积极,积极,10.84,积极
运行 速度 理想 外形 外观 满意 ,积极,积极,9.737,积极
没有 充电器 电源线 评价 错 了 电源 充电器 没 电脑 来 天 了 不了 联系 商家 联系 着急 没 办法 去 配 电源 充电器 去 京东 了 联系 商家 很 方便 ,消极,消极,1.942,积极
有 质感 感觉 没有 想象 好 屏幕 效果 一般 ,消极,积极,6.895,积极
质量 好 实惠 好 送货 快 值得 推荐 ,积极,积极,12.653,积极
送 单肩 电脑包 不会 低 吧 hellip ,消极,积极,5.647,积极
整体 好 机身 商务 风 浓厚 鲁 大师 跑 分 w 吃 鸡 全调 低 无 压力 后台 开太 键盘 有无 响应 问题 风扇 声音 小 大型 游戏 接受 图书馆 能 满意 购物 体验 了 电脑 发热 严重 风扇 声音 大 响应 慢 使用 热 烫手 体验 极差 ,积极,积极,18.503,积极
是 买 同款 送 了 电脑包 好 ,积极,积极,2.091,积极
拿到 手 出现 问题 快递 员 取件 打电话 接 无 语 京东 变 了 购买 需谨慎 体验 差 特地 请假 回来 寄 快递 快递 员 放鸽子 打电话 接 京东 自营 所想 京东 ,消极,消极,11.294,积极
商品 不错 物流 力 配送 员 敬业 不错 很好 购物 体验 ,积极,积极,14.331,积极
外形 外观 外观 漂亮 运行 速度 较 快 散热 性能 好 ,积极,积极,13.757,积极
购买 看 了 品牌 买 了 THINKPAD 开机 速度 快 画面 显示 细腻 独显 是 入门级 鲁 大师 跑 分 击败 全国 用户 字体 有 重影 感觉 知道 是 win10 原因 硬件 原因 ,积极,积极,5.06,积极
运行 速度 快 屏幕 效果 好 散热 性能 好 外形 外观 漂亮 轻薄 程度 薄 ,积极,积极,17.48,积极
运行 速度 快 待机时间 长 送 电脑包 质感 好 ,积极,积极,6.651,积极
运行 速度 固态 硬盘 运行 速度 快 开关机 飞快 轻薄 程度 轻薄 携带 方便 外形 外观 漂亮 键盘 起来 很 舒服 ,积极,积极,16.77,积极
价格 划算 买 固态 加 机械 硬盘 组合 兼容 了 容量 启动 速度 开关机 吧 中规中矩 分辨率 差 感觉 手机 MATE20Pro 画质 好 需要 个 本子 上个 THINKPAD 了 了 懒 看 划算 下单 了 图片 是 爸 小说 用不着 吧 哈哈 ,积极,积极,16.078,积极
购买 Thinkpad 系列 笔记本 型号 是 低端 E480 感觉 很 不错 做工 一流 性能 稳定 可靠 I5 处理器 独立 显卡 固态 硬盘 性能 绰绰有余 屏幕 分辨率 全高清 笔记本 扩展性 不错 加 内存 固态 性价比 不错 ,积极,积极,32.306,积极
使用 了 开机 挺好用 是 正好 活动 价格 购买 优惠 很大 买 自带 办公 系统 方便 实用 开始 有点 适应 过 了 感觉 很 不错 习惯 了 牌子 电脑 值得 信赖 着 方便 舒服 客服 服务态度 好 有 问题 咨询 会 解答 很 满意 购物 喜欢 亲 活动 买 实惠 ,消极,积极,41.966,积极
机器 联想 笔记本 不错 ,积极,积极,4.966,积极
吧 买 电脑 连 鼠标 不配 了 吗 闪购 降价 简配 ,消极,积极,-1.957,消极
没想到 价位 能 买到 上网 学习 够用 了 ,积极,积极,3.147,积极
运行 速度 能够 完全 满足 需求 打开 软件 运行 程序 没有 卡顿 屏幕 效果 屏幕 色彩 分辨率 高 散热 性能 散热 行 要 玩 大型 游戏 需要 加 抽风 口 外形 外观 外观 美观 大气 有 档次 感 特色 售后服务 态度 超好 热情 轻薄 程度 挺薄 没有 对比 没有 差距 所有 指标 是 同价位 机子 上作 对比 ,消极,积极,24.771,积极
运行 速度 好 屏幕 效果 好看 外形 外观 好看 轻薄 程度 好 ,积极,积极,14.882,积极
小黑 翼 屏幕 超清 速度 超快 好 了 好 满意 是 小黑 了 感觉 ,积极,积极,8.871,积极
运行 速度 快 屏幕 效果 靓 外形 外观 行 轻薄 程度 ,积极,积极,10.033,积极
运行 速度 快 屏幕 效果 不错 散热 性能 好 外形 外观 很 商务 ,积极,积极,13.121,积极
买回来 成 砖头 了 ,消极,积极,-0.754,消极
电脑 很漂亮 高端 大气 上档次 很 薄 携带 出门 很 方便 物流 快 付款 了 力 京东 自营 赞 网页 打开 速度 快 键盘 使用 效果 不错 触摸板 反应 灵敏 笔记本 接口 齐全 公司 新 同事 买 入职 电脑 正好 公司 做 正版 化 装机 备份 做 系统 但愿 正版 化 检查 顺利 过关 ,消极,积极,32.951,积极
无 语 买不到 打 文件夹 无 响应 闪退 黑屏 重启 蓝屏 此 用户 未填写 评价 内容 ,消极,消极,-0.487,消极
运行 速度 运行 速度 快 外形 外观 外形 美观 散热 性能 散热 好 ,积极,积极,14.41,积极
运行 速度 带 固态 硬盘 速度 屏幕 效果 高清 屏幕 显示 效果 好 散热 性能 散热 好 thinkpad 必备 外形 外观 时尚 银色 好看 公司 统一 买来 办公 划算 ,积极,积极,30.242,积极
